,app,area,houseTypeValue,lotSize,price,street,zipcode,PricePA,Country
0,FALSE,212,Herenhuis,91,1049000,Scheepstimmermanstraat 6,1019WX,4948.113208,Netherlands
1,FALSE,302,Vrijstaande woning,1470,1395000,Zuideinde 286,1035PM,4619.205298,Netherlands
2,FALSE,103,Eengezinswoning,265,700000,Durgerdammerdijk 119,1026CG,6796.116505,Netherlands
3,FALSE,150,Tussenwoning,167,539080,Diopter 80,1025MS,3593.866667,Netherlands
4,FALSE,285,Tussenwoning,90,1650000,Eerste Helmersstraat 201,1054DV,5789.473684,Netherlands
5,FALSE,140,Herenhuis,48,890000,Nieuwe Leliestraat 186,1015HG,6357.142857,Netherlands
6,TRUE,101,Bovenwoning,0,590000,Van Walbeeckstraat 23-3 + 4,1058CG,5841.584158,Netherlands
7,TRUE,58,Appartement,58,275000,Anna van Burenstraat 17 I,1055VL,4741.37931,Netherlands
8,FALSE,94,Herenhuis,45,469000,Joris Ivensstraat 7,1087BB,4989.361702,Netherlands
9,FALSE,100,Woning,235,475000,Hoekenes 60,1068MZ,4750,Netherlands
10,FALSE,144,Herenhuis,505,975000,Kadoelenweg 380,1035NT,6770.833333,Netherlands
11,TRUE,59,Appartement,0,425000,Tilanusstraat 31 1,1091BD,7203.389831,Netherlands
12,FALSE,118,Bungalow,726,800000,Willem Mulierhof 45,1067SJ,6779.661017,Netherlands
13,FALSE,313,Herenhuis,0,1500000,Haarlemmerdijk 186,1013JK,4792.332268,Netherlands
14,FALSE,132,Herenhuis,120,800000,Galileiplantsoen 34,1098NA,6060.606061,Netherlands
15,TRUE,129,Appartement,0,1050000,Oudezijds Voorburgwal 217 B,1012EX,8139.534884,Netherlands
16,TRUE,75,Appartement,80,325000,Havikshorst 123,1083TP,4333.333333,Netherlands
17,TRUE,90,Appartement,2256,490000,Spaarndammerdijk 7 X,1013ZM,5444.444444,Netherlands
18,FALSE,107,Woning,156,575000,Hendrik Dienskestraat 26,1063AP,5373.831776,Netherlands
19,FALSE,161,Eengezinswoning,143,549500,Prof J H Gunningstraat 52,1068MS,3413.043478,Netherlands
20,FALSE,110,Woning,130,300000,Tekkopstraat 107,,2727.272727,Netherlands
21,FALSE,374,Woonboerderij,7160,1500000,Poppendammergouw 32,1028AZ,4010.695187,Netherlands
22,TRUE,90,Bovenwoning,90,285000,Voorsteven 76,1034SN,3166.666667,Netherlands
23,TRUE,103,Bovenwoning,0,750000,Wilhelminastraat 89 3,1054VZ,7281.553398,Netherlands
24,TRUE,90,Bovenwoning,0,575000,Frans Halsstraat 29,1072BK,6388.888889,Netherlands
25,TRUE,104,Penthouse,0,620000,Baarsjesweg 193 -D,1057HR,5961.538462,Netherlands
26,TRUE,54,Bovenwoning,0,300000,Blasiusstraat 156 -II,1091CZ,5555.555556,Netherlands
27,FALSE,65,Eengezinswoning,75,289011,SINAASAPPELSTRAAT 8,1033KS,4446.323077,Netherlands
28,TRUE,58,Bovenwoning,72,400000,Ceintuurbaan 7 I,1072ER,6896.551724,Netherlands
29,TRUE,255,Bovenwoning,0,1750000,Van Baerlestraat 142 II,1071BE,6862.745098,Netherlands
30,FALSE,212,Herenhuis,91,1049000,Scheepstimmermanstraat 6,1019WX,4948.113208,Netherlands
31,FALSE,302,Vrijstaande woning,1470,1395000,Zuideinde 286,1035PM,4619.205298,Netherlands
32,FALSE,103,Eengezinswoning,265,700000,Durgerdammerdijk 119,1026CG,6796.116505,Netherlands
33,FALSE,150,Tussenwoning,167,539080,Diopter 80,1025MS,3593.866667,Netherlands
34,FALSE,285,Tussenwoning,90,1650000,Eerste Helmersstraat 201,1054DV,5789.473684,Netherlands
35,FALSE,140,Herenhuis,48,890000,Nieuwe Leliestraat 186,1015HG,6357.142857,Netherlands
36,TRUE,101,Bovenwoning,0,590000,Van Walbeeckstraat 23-3 + 4,1058CG,5841.584158,Netherlands
37,TRUE,58,Appartement,58,275000,Anna van Burenstraat 17 I,1055VL,4741.37931,Netherlands
38,FALSE,94,Herenhuis,45,469000,Joris Ivensstraat 7,1087BB,4989.361702,Netherlands
39,FALSE,100,Woning,235,475000,Hoekenes 60,1068MZ,4750,Netherlands
40,FALSE,144,Herenhuis,505,975000,Kadoelenweg 380,1035NT,6770.833333,Netherlands
41,TRUE,59,Appartement,0,425000,Tilanusstraat 31 1,1091BD,7203.389831,Netherlands
42,FALSE,118,Bungalow,726,800000,Willem Mulierhof 45,1067SJ,6779.661017,Netherlands
43,FALSE,313,Herenhuis,0,1500000,Haarlemmerdijk 186,1013JK,4792.332268,Netherlands
44,FALSE,132,Herenhuis,120,800000,Galileiplantsoen 34,1098NA,6060.606061,Netherlands
45,TRUE,129,Appartement,0,1050000,Oudezijds Voorburgwal 217 B,1012EX,8139.534884,Netherlands
46,TRUE,75,Appartement,80,325000,Havikshorst 123,1083TP,4333.333333,Netherlands
47,TRUE,90,Appartement,2256,490000,Spaarndammerdijk 7 X,1013ZM,5444.444444,Netherlands
48,FALSE,107,Woning,156,575000,Hendrik Dienskestraat 26,1063AP,5373.831776,Netherlands
49,FALSE,161,Eengezinswoning,143,549500,Prof J H Gunningstraat 52,1068MS,3413.043478,Netherlands
50,FALSE,110,Woning,130,300000,Tekkopstraat 107,,2727.272727,Netherlands
