Street,Zipcode,Price,Broker
Bakhuizen van den Brinkhof 56,1065 BB, 525.000,Nieuw West Makelaardij Onroerende Zaken B.V.
Edmond Halleylaan 58,1086 ZV, 910.000,Voogd Makelaardij B.V.
Balearenlaan 80,1060 TL, 575.000,Makelaardij Hendriks B.V.
Spyridon Louisweg 117,1034 WR, 585.000,ERA Van de Steege  Amsterdam-Centrum
Durgerdammerdijk 119,1026 CG, 700.000,HR Makelaars
Nieuwe Leliestraat 72 1,1015 SV, 350.000,Cocq Makelaars Amsterdam
Pond Sterlinglaan 36,1060 RS, 400.000,Makelaardij Hendriks B.V.
Betuwestraat 14,1079 PR, 1.950.000,Beekman Makelaardij o/g B.V.
Michel de Klerkhof 20,1067 MB, 365.000,Nieuw West Makelaardij Onroerende Zaken B.V.
Valeriusstraat 137 3,1075 ET, 1.300.000,Cocq Makelaars Amsterdam
John Blankensteinstraat 189 A,1095 MB, 850.000,Amstelland Makelaars
Surinamekade 5 D,1019 BH, 1.589.000,Hans Kok
Kadoelenweg 380,1035 NT, 975.000,ERA Van de Steege  Amsterdam-Centrum
Nieuwe Leliestraat 186,1015 HG, 850.000,JLG Real Estate B.V.
A. Reitsmakade 20,1060 RJ, 475.000,Nieuw West Makelaardij Onroerende Zaken B.V.
Diopter 80,1025 MS, 539.080,AVT Makelaars 
Willem Mulierhof 45,1067 SJ, 800.000,Makelaardij Hendriks B.V.
Galileiplantsoen 34,1098 NA, 800.000,Broekman Makelaars Alkmaar
Schimmelstraat 55,1053 TD, 1.290.000,Amsterdam at Home Makelaars
Ladogameerhof 75,1060 PJ, 295.000,Nieuw West Makelaardij Onroerende Zaken B.V.
Oudezijds Voorburgwal 217 B,1012 EX, 1.050.000,Amstelland Makelaars
Wethouder Frankeweg 7 3,1098 KV, 475.000,Makelaardij Hendriks B.V.
Havikshorst 123,1083 TP, 325.000,Klok Real Estate B.V.
Spaarndammerdijk 7 X,1013 ZM, 490.000,leukehuizen.nl
Philip Vingboonsstraat 16,1067 BH, 325.000,Nieuw West Makelaardij Onroerende Zaken B.V.
Hendrik Dienskestraat 26,1063 AP, 575.000,Nieuw West Makelaardij Onroerende Zaken B.V.
Jacob van Lennepkade 408 Hs,1053 NN, 1.100.000,Amstelland Makelaars
Prof J H Gunningstraat 52,1068 MS, 549.500,ERA Van de Steege  Amsterdam-Centrum
Jan Pieter Heijestraat 83 B,1053 GM, 425.000,Amstelland Makelaars
Stentorstraat 29,1035 XB, 250.000,Makelaardij Hendriks B.V.
Leliegracht 5 2,1016 GN, 1.050.000,RE/MAX PRO
Duindoornplein 25,1032 CL, 400.000,de Haas Makelaars
Hoekenes 60,1068 MZ, 475.000,Nieuw West Makelaardij Onroerende Zaken B.V.
Brenner 23,1060 NT, 425.000,Nieuw West Makelaardij Onroerende Zaken B.V.
Poppendammergouw 32,1028 AZ, 1.500.000,Makelaardij Hendriks B.V.
Loefzijde 22,1034 KX, 350.000,ERA Van de Steege  Amsterdam-Centrum
Willem Augustinstraat 182,1061 MJ, 500.000,Amstelland Makelaars
Tilanusstraat 31 1,1091 BD, 425.000,Bijleveld Makelaardij O.G.
Sandwijk 50,1035 LC, 350.000,ERA Van de Steege  Amsterdam-Centrum
Murdoch Mackenziestraat 16,1086 WH, 695.000,Voogd Makelaardij B.V.
Kweekhoven 18,1068 ZT, 599.000,+31 Vastgoed
Tekkopstraat 107,na, 300.000,Collectief makelaars
Vaartstraat 16 3,1075 RN, 615.000,Wijkhuizen makelaars
Voorsteven 76,1034 SN, 285.000,Huisportaal.nl
Koninginneweg 155,1075 CN, 2.300.000,Makelaardij o.g. Willemspark
Gerda Brautigamstraat 45,1067 VM, 335.000,Nieuw West Makelaardij Onroerende Zaken B.V.
