Type,Construction_year,Living_area,LOT,Plot,Other,Insulation,Heating,Energy_label,Energy_consumption,inside_maintenance_state,Rooms,Bedrooms,Sanitation,kitchen,outside_maintenace_state,outside_state_painting,Graden,view,Balcony,Garage,number_of_times_shown,number_of_times_shown_yesterday
Hoekwoning,1956,117 m²,393 m³,258 m²,-,-,-,-,-,-,6,4,-,-,-,-,Ja,-,Ja,Ja,206,99
Herenhuis,2008,234 m²,874 m³,144 m²,-,-,-,-,-,-,8,4,-,-,-,-,Ja,-,-,-,1.217,73
Eengezinswoning,2003,169 m²,675 m³,142 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,-,Ja,37,37
Herenhuis,1995,160 m²,556 m³,220 m²,-,-,-,-,-,-,5,-,-,-,-,-,Ja,-,-,Ja,1.200,91
Eengezinswoning,1968,103 m²,319 m³,265 m²,-,-,-,-,-,-,5,3,-,-,-,-,Ja,-,-,-,12.692,81
Appartement,1905,41 m²,-,60 m²,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,26,26
Eengezinswoning,1998,141 m²,470 m³,128 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,-,-,23,23
Woning,1968,223 m²,903 m³,228 m²,-,-,-,-,-,-,9,7,-,-,-,-,Ja,-,Ja,Ja,1.189,67
Tussenwoning,1987,106 m²,399 m³,111 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,-,-,28,28
Dubbele bovenwoning,1911,154 m²,-,207 m²,-,-,Openhaard,-,-,-,4,3,-,-,-,-,-,-,Ja,-,4,4
Appartement,2018,140 m²,-,-,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,Ja,-,1,1
Woonboot,1936,320 m²,735 m³,1 m²,-,-,-,-,-,-,11,6,-,-,-,-,-,-,-,-,1.353,97
Herenhuis,1930,144 m²,570 m³,505 m²,-,-,-,-,-,-,4,-,-,-,-,-,Ja,-,-,Ja,3.837,73
Herenhuis,1005,140 m²,500 m³,48 m²,-,-,-,-,-,-,4,2,-,-,-,-,Ja,-,Ja,-,0,0
Tussenwoning,1998,152 m²,473 m³,143 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,-,-,0,0
Tussenwoning,1998,150 m²,470 m³,167 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,Ja,Ja,1.703,86
Bungalow,1965,118 m²,534 m³,726 m²,-,-,-,-,-,-,3,2,-,-,-,-,Ja,-,-,Ja,2.318,66
Herenhuis,1929,132 m²,501 m³,120 m²,-,-,-,-,-,-,7,6,-,-,-,-,Ja,-,Ja,-,2.028,66
Herenhuis,1981,144 m²,484 m³,196 m²,-,-,-,-,-,-,6,4,-,-,-,-,Ja,-,Ja,-,584,66
Appartement,1999,86 m²,283 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,29,29
Appartement,1005,129 m²,-,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,1.090,65
Bovenwoning,1926,86 m²,285 m³,-,Zwembad,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,10,10
Appartement,1963,75 m²,203 m³,80 m²,-,Dubbelglas,CV hoogrendement,-,-,Redelijk,3,2,Bad,Standaard,Goed,Goed,-,WoningenGroenvoorzieningen,Ja,-,5.293,21
Appartement,2007,90 m²,275 m³,2.256 m²,Lift,-,-,-,-,-,3,-,-,-,-,-,-,-,Ja,Ja,204,12
Hoekwoning,1955,100 m²,328 m³,80 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,-,-,600,30
Woning,1953,107 m²,411 m³,156 m²,-,-,-,-,-,-,3,2,-,-,-,-,Ja,-,Ja,Ja,1.437,15
Benedenwoning,1905,146 m²,-,-,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,157,4
Eengezinswoning,2007,161 m²,420 m³,143 m²,-,-,-,-,-,-,6,-,-,-,-,-,Ja,-,-,-,317,20
Bovenwoning,1899,68 m²,-,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,14,13
Eengezinswoning,1958,70 m²,290 m³,143 m²,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,88,52
Dubbele bovenwoning,1620,139 m²,-,66 m²,-,-,-,-,-,-,5,4,-,-,-,-,-,-,-,-,273,4
Tussenwoning,1931,70 m²,249 m³,73 m²,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,649,23
Woning,1985,100 m²,325 m³,235 m²,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,524,12
Tussenwoning,1997,132 m²,420 m³,134 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,-,-,263,19
Woonboerderij,1910,374 m²,1.048 m³,7.160 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,Ja,-,33.485,11
Eengezinswoning,1977,94 m²,333 m³,131 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,-,-,47,38
Eengezinswoning,2013,113 m²,-,185 m²,Lift,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,442,15
Appartement,1911,59 m²,213 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,783,8
Eengezinswoning,1993,110 m²,355 m³,102 m²,-,-,-,-,-,-,6,5,-,-,-,-,Ja,-,-,-,415,39
Bovenwoning,2009,136 m²,458 m³,-,-,-,-,-,-,-,6,4,-,-,-,-,-,-,-,Ja,110,83
Herenhuis,2009,151 m²,-,80 m²,-,-,-,-,-,-,6,5,-,-,-,-,-,-,-,Ja,161,83
Woning,1983,110 m²,370 m³,130 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,-,Ja,1.771,30
Bovenwoning,1912,94 m²,310 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,3,3
Bovenwoning,1977,90 m²,224 m³,90 m²,Lift,-,-,-,-,-,5,-,-,-,-,-,-,-,Ja,-,2.027,29
Woning,1906,283 m²,1.132 m³,-,-,-,-,-,-,-,7,4,-,-,-,-,Ja,-,Ja,-,223,8
Hoekwoning,1991,108 m²,361 m³,122 m²,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,518,24
Woonboerderij,1992,364 m²,1.245 m³,1.300 m²,-,-,-,-,-,-,6,5,-,-,-,-,Ja,-,Ja,-,4.985,16
