treinstation,tankstation,supermarkt,basisschool,kinderopvang,middelbare school,café,videotheek,(huis)arts,tandarts,fitnesscentrum,bibliotheek
"['Amsterdam Lelylaan', '877 meter', 'Slotervaart']","['Shell Station Postjesweg', '905 meter', 'Slotervaart']","['Wereld-Mini-Markt', '274 meter', 'Slotervaart']","['Pro Regeschool', '60 meter', 'Slotervaart']","['Kings & Queens BSO', '69 meter', 'Slotervaart']","['Hervormd Lyceum West', '235 meter', 'Slotervaart']","['Kleine Nachtwacht VOF De', '968 meter', 'Slotervaart']","['Sloterplas Cinema Super Videotheek De', '649 meter', 'Slotervaart']","['Umans-Mohan V I', '914 meter', 'Slotervaart']","['Tandartspraktijk H T D Nguyen', '163 meter', 'Slotervaart']","['Fitness Centre Palestra', '1,0 kilometer', 'Slotervaart']","['Praktizijns Sociëteit Bibliotheek', '3,9 kilometer', 'Slotervaart']"
"['Diemen', '1,9 kilometer', 'IJburg West']","['Shell Station Kriterion', '1,3 kilometer', 'IJburg West']","['Multi Tokorien IJburg', '1,9 kilometer', 'IJburg West']","['Abbs-de Zuiderzee', '554 meter', 'IJburg West']","['Blauwe Fluithaas De', '178 meter', 'IJburg West']","['LUCA Praktijkschool', '2,5 kilometer', 'IJburg West']","['Café Blond B.V.', '429 meter', 'IJburg West']","['Movie MAX Moviestores', '3,1 kilometer', 'IJburg West']","['Gezondheidscentrum Steigereiland SAG', '262 meter', 'IJburg West']","['Mondzorgcentrum IJburg', '294 meter', 'IJburg West']","['Fitamsterdam', '691 meter', 'IJburg West']","['Internationaal Instituut voor Sociale Geschiedenis', '3,0 kilometer', 'IJburg West']"
"['Amsterdam Lelylaan', '3,4 kilometer', 'Middelveldsche Akerpolder en Sloten']","['Demarol Badhoevedrop', '559 meter', 'Middelveldsche Akerpolder en Sloten']","['Supermarkt Karadeniz', '925 meter', 'Middelveldsche Akerpolder en Sloten']","['CBS Oranje Nassau', '586 meter', 'Middelveldsche Akerpolder en Sloten']","['PVO Harlekijntje', '251 meter', 'Middelveldsche Akerpolder en Sloten']","['Calandlyceum', '1,6 kilometer', 'Middelveldsche Akerpolder en Sloten']","[""Louman's Hoekje Café"", '181 meter', 'Middelveldsche Akerpolder en Sloten']","['Filmclub Videotheek Osdorp', '788 meter', 'Middelveldsche Akerpolder en Sloten']","['Universum Care', '153 meter', 'Middelveldsche Akerpolder en Sloten']","['Zygogiannis K', '447 meter', 'Middelveldsche Akerpolder en Sloten']","['Back in Shape', '931 meter', 'Middelveldsche Akerpolder en Sloten']","['Praktizijns Sociëteit Bibliotheek', '5,3 kilometer', 'Middelveldsche Akerpolder en Sloten']"
"['Amsterdam Centraal', '2,9 kilometer', 'Banne Buiksloot']","['Total Selfservicestation Kadoelen', '1,7 kilometer', 'Banne Buiksloot']","['Son To Maatje', '339 meter', 'Banne Buiksloot']","['Rijkers Openbare Basisschool Dorus', '359 meter', 'Banne Buiksloot']","['Gastouder De Liefste Mama', '348 meter', 'Banne Buiksloot']","['Bredero Mavo', '814 meter', 'Banne Buiksloot']","['Eetcafé The Mansion', '962 meter', 'Banne Buiksloot']","['Eurocorner', '2,3 kilometer', 'Banne Buiksloot']","['Huisartsenpraktijk Kadoelerbreek', '780 meter', 'Banne Buiksloot']","['tandheelkundige dienstverlening Sang Ajang', '151 meter', 'Banne Buiksloot']","['Cardio Candy', '2,0 kilometer', 'Banne Buiksloot']","['Toonkunst-Bibliotheek', '3,0 kilometer', 'Banne Buiksloot']"
"['Diemen', '4,1 kilometer', 'Waterland']","['Shell Station Kriterion', '1,8 kilometer', 'Waterland']","['Bizim Ufuk Supermarket en Bakkerij (A.I.)', '3,0 kilometer', 'Waterland']","['Weidevogel De', '1,6 kilometer', 'Waterland']","['KinderVilla ijburg steigereiland nso', '1,5 kilometer', 'Waterland']","['LUCA Praktijkschool', '3,7 kilometer', 'Waterland']","['Zwaan Hotel-Café CV De', '1,7 kilometer', 'Waterland']","['Movie MAX Moviestores', '4,2 kilometer', 'Waterland']","['Gezondheidscentrum Steigereiland SAG', '2,0 kilometer', 'Waterland']","['Tandartsen Praktijk Amsterdam Ijburg', '1,9 kilometer', 'Waterland']","['Fitamsterdam', '2,2 kilometer', 'Waterland']","['Internationaal Instituut voor Sociale Geschiedenis', '3,7 kilometer', 'Waterland']"
"['Amsterdam Centraal', '1,3 kilometer', 'Jordaan']","['Texaco Bem BV Selfservice', '684 meter', 'Jordaan']","['Roos Market', '343 meter', 'Jordaan']","['Basisschool St Aloysius', '257 meter', 'Jordaan']","['The Zoo BSO', '152 meter', 'Jordaan']","['Cartesius Lyceum', '485 meter', 'Jordaan']","['Café De Nieuwe Lelie', '39 meter', 'Jordaan']","['Platebank BV', '888 meter', 'Jordaan']","['Cambridge Medical GP Physician Medical Doctor', '135 meter', 'Jordaan']","['Tandarts L E C A M', '80 meter', 'Jordaan']","['Fitness Centrum Leidsegracht BV', '217 meter', 'Jordaan']","['Bibliotheca Philosophica Hermetica', '145 meter', 'Jordaan']"
"['Amsterdam Lelylaan', '3,2 kilometer', 'Middelveldsche Akerpolder en Sloten']","['Demarol Badhoevedrop', '944 meter', 'Middelveldsche Akerpolder en Sloten']","['Supermarkt Karadeniz', '475 meter', 'Middelveldsche Akerpolder en Sloten']","['Horizon Openbare Dalton Basisschool De', '164 meter', 'Middelveldsche Akerpolder en Sloten']","['Peuterspeelzaal Boris Beer', '246 meter', 'Middelveldsche Akerpolder en Sloten']","['Calandlyceum', '1,3 kilometer', 'Middelveldsche Akerpolder en Sloten']","[""Louman's Hoekje Café"", '815 meter', 'Middelveldsche Akerpolder en Sloten']","['Filmclub Videotheek Osdorp', '216 meter', 'Middelveldsche Akerpolder en Sloten']","['Gezondheidscentrum De Vaart SAG', '267 meter', 'Middelveldsche Akerpolder en Sloten']","['Muradin Eric M F Tandarts', '83 meter', 'Middelveldsche Akerpolder en Sloten']","['Back in Shape', '1,3 kilometer', 'Middelveldsche Akerpolder en Sloten']","['Praktizijns Sociëteit Bibliotheek', '5,5 kilometer', 'Middelveldsche Akerpolder en Sloten']"
"['Amsterdam RAI', '423 meter', 'Scheldebuurt']","['Douwes & Van der Sluis BV', '147 meter', 'Scheldebuurt']","['Albert Heijn', '455 meter', 'Scheldebuurt']","['6e Montessorischool Anne Frank', '407 meter', 'Scheldebuurt']","['KDV Wereldvlinders BV', '332 meter', 'Scheldebuurt']","['Hubertus & Berkhoff', '90 meter', 'Scheldebuurt']","[""Gat van Zuid Café 't"", '584 meter', 'Scheldebuurt']","['Filmclub Videotheek Cinemagic', '1,4 kilometer', 'Scheldebuurt']","['Huob', '686 meter', 'Scheldebuurt']","['BriteSmile-Prev Dent Nederland', '178 meter', 'Scheldebuurt']","['Yorbody Ladyfit', '829 meter', 'Scheldebuurt']","['Theosofische Bibliotheek', '1,6 kilometer', 'Scheldebuurt']"
"['Amsterdam Sloterdijk', '3,2 kilometer', 'Geuzenveld']","['Autorette BP Sloterplas', '2,1 kilometer', 'Geuzenveld']","['Sefa Market', '458 meter', 'Geuzenveld']","['Goeman Borgesiusschool', '132 meter', 'Geuzenveld']","['PVO Goeman Borgesius 1', '132 meter', 'Geuzenveld']","['Wissel De', '2,4 kilometer', 'Geuzenveld']","[""Sanny's Place Café"", '474 meter', 'Geuzenveld']","['Sloterplas Cinema Super Videotheek De', '3,0 kilometer', 'Geuzenveld']","['Busser W Huisartsenpraktijk R Runhert & J Leeuw', '415 meter', 'Geuzenveld']","['Tandartsenpraktijk Fallah', '572 meter', 'Geuzenveld']","[""Doel Lady's Only Fitnesscentrum Het"", '494 meter', 'Geuzenveld']","['Bibliotheca Philosophica Hermetica', '5,8 kilometer', 'Geuzenveld']"
"['Amsterdam Zuid', '1,7 kilometer', 'Willemspark']","['BP Commandeur', '834 meter', 'Willemspark']","['Organic Food For You', '420 meter', 'Willemspark']","['2e Dalton Basisschool', '379 meter', 'Willemspark']","['Bengeltjes NV', '330 meter', 'Willemspark']","['Amsterdams Lyceum Het', '235 meter', 'Willemspark']","['Waldeck', '285 meter', 'Willemspark']","['Lucky Star Videotheek', '668 meter', 'Willemspark']","['Korthals Altes-Levy H R', '287 meter', 'Willemspark']","['Tandartsenpraktijk Liem en Oei', '84 meter', 'Willemspark']","['Personal Healthclub', '532 meter', 'Willemspark']","['Praktizijns Sociëteit Bibliotheek', '1,4 kilometer', 'Willemspark']"
