posted_date,current_price,original_price,changes_in_price,price,price_per_m2,times_in_sales
27-06-2018, 525.000, 525.000,-, 525.000, 4.487,3 dagen
16-06-2018, 910.000, 910.000,-, 910.000, 3.889,14 dagen
28-06-2018, 575.000, 575.000,-, 575.000, 3.402,Nieuw
19-06-2018, 585.000, 585.000,-, 585.000, 3.656,11 dagen
16-03-2018, 700.000, 700.000,-, 700.000, 6.796,3 maanden
29-06-2018, 350.000, 350.000,-, 350.000, 8.537,Nieuw
28-06-2018, 400.000, 400.000,-, 400.000, 2.837,Nieuw
16-06-2018, 1.950.000, 1.950.000,-, 1.950.000, 8.744,14 dagen
29-06-2018, 365.000, 365.000,-, 365.000, 3.443,Nieuw
29-06-2018, 1.300.000, 1.300.000,-, 1.300.000, 8.442,Nieuw
29-06-2018, 850.000, 850.000,-, 850.000, 6.071,Nieuw
18-06-2018, 1.589.000, 1.589.000,-, 1.589.000, 4.966,12 dagen
19-05-2018, 975.000, 975.000,-, 975.000, 6.771,1 maand
11-06-2018, 850.000, 890.000," -40.000 / -4,5%", 850.000, 6.071,19 dagen
30-06-2018, 475.000, 475.000,-, 475.000, 3.125,Nieuw
12-06-2018, 539.080, 539.080,-, 539.080, 3.594,18 dagen
01-06-2018, 800.000, 800.000,-, 800.000, 6.780,29 dagen
31-05-2018, 800.000, 800.000,-, 800.000, 6.061,1 maand
21-06-2018, 1.290.000, 1.290.000,-, 1.290.000, 8.958,9 dagen
29-06-2018, 295.000, 295.000,-, 295.000, 3.430,Nieuw
08-06-2018, 1.050.000, 1.050.000,-, 1.050.000, 8.140,22 dagen
28-06-2018, 475.000, 475.000,-, 475.000, 5.523,Nieuw
08-05-2018, 325.000, 325.000,-, 325.000, 4.333,1 maand
14-06-2018, 490.000, 490.000,-, 490.000, 5.444,16 dagen
20-06-2018, 325.000, 325.000,-, 325.000, 3.250,10 dagen
28-05-2018, 575.000, 575.000,-, 575.000, 5.374,1 maand
23-06-2018, 1.100.000, 1.100.000,-, 1.100.000, 7.534,7 dagen
14-06-2018, 549.500, 549.500,-, 549.500, 3.413,16 dagen
28-06-2018, 425.000, 425.000,-, 425.000, 6.250,Nieuw
28-06-2018, 250.000, 250.000,-, 250.000, 3.571,Nieuw
21-06-2018, 1.050.000, 1.050.000,-, 1.050.000, 7.554,9 dagen
15-06-2018, 400.000, 400.000,-, 400.000, 5.714,15 dagen
12-06-2018, 475.000, 475.000,-, 475.000, 4.750,18 dagen
21-06-2018, 425.000, 425.000,-, 425.000, 3.220,9 dagen
24-10-2017, 1.500.000, 1.500.000,-, 1.500.000, 4.011,8 maanden
28-06-2018, 350.000, 350.000,-, 350.000, 3.723,Nieuw
10-06-2018, 500.000, 500.000,-, 500.000, 4.425,20 dagen
