Zipcode,current_price,price_per_m2,times_in_sales,Type,Construction_year,Living_area,LOT,Plot,Rooms,Bedrooms,treinstation,tankstation,supermarkt,basisschool,kinderopvang,middelbare school,café,(huis)arts,tandarts,fitnesscentrum,bibliotheek,inhabitants,distribution_fm,population_density,Age_0-15,age_15-25,age_25-45,age_45-65,age_older,indigenous,western_allochtoon,none_western,household,household_single,household_wo_kids,household_with_kids,avg_person_per_household,perc_with_job,high_income,medium_income,low_income,income_avg,social_benefit
1034.0,585000.0, 3.656,Nieuw,Herenhuis,1995,160.0,556.0,220.0,5,-,2900.0,1700.0,339.0,359.0,348.0,814.0,962.0,780.0,151.0,2000.0,3000.0,12.51,0.9201841903300078,7.553,0.21,0.12,0.26,0.25,0.15,0.43,0.09,0.48,5.675,0.43,0.21,0.37,"2,2",0.63,0.11,0.46,0.43,16.4,0.1007
1067.0,325000.0, 3.250,Nieuw,Hoekwoning,1955,100.0,328.0,80.0,5,4,2900.0,2100.0,435.0,652.0,394.0,2500.0,799.0,512.0,873.0,814.0,5900.0,12.825,1.000780031201248,9.663,0.21,0.16,0.31,0.2,0.11,0.3,0.1,0.6,5.67,0.43,0.2,0.37,"2,2",0.62,0.09,0.45,0.46,15.5,0.1107
1086.0,910000.0, 3.889,5 dagen,Herenhuis,2008,234.0,874.0,144.0,8,4,1900.0,1300.0,1900.0,554.0,178.0,2500.0,429.0,262.0,294.0,691.0,3000.0,11.67,0.985531914893617,10.148,0.34,0.07,0.42,0.14,0.02,0.54,0.11,0.35,4.445,0.3,0.18,0.53,"2,6",0.81,0.37,0.4,0.23,23.4,0.05
1016.0,1050000.0, 7.554,Nieuw,Dubbele bovenwoning,1620,139.0,,66.0,5,4,964.0,889.0,136.0,459.0,286.0,422.0,187.0,333.0,133.0,161.0,337.0,6.805,1.133228840125392,13.56,0.09,0.12,0.38,0.3,0.11,0.62,0.3,0.08,4.495,0.65,0.23,0.12,"1,5",0.69,0.44,0.26,0.3,30.2,0.01
1035.0,1395000.0, 4.619,23 dagen,Vrijstaande woning,1751,302.0,1.259,1.47,7,6,5000.0,1300.0,435.0,313.0,97.0,792.0,1800.0,538.0,1100.0,1000.0,1900.0,8.715,0.9453125,3.556,0.19,0.13,0.27,0.27,0.14,0.64,0.1,0.26,3.905,0.36,0.24,0.4,"2,2",0.73,0.2,0.44,0.36,17.9,0.050499999999999996
1026.0,700000.0, 6.796,3 maanden,Eengezinswoning,1968,103.0,319.0,265.0,5,3,4100.0,1800.0,3000.0,1600.0,1500.0,3700.0,1700.0,2000.0,1900.0,2200.0,3700.0,2.12,1.009478672985782,,0.19,0.09,0.21,0.36,0.16,0.88,0.09,0.03,895.0,0.29,0.32,0.39,"2,4",0.76,0.36,0.34,0.3,24.3,0.0005
1054.0,1650000.0, 5.789,1 maand,Tussenwoning,1904,285.0,1.043,90.0,10,5,2300.0,1100.0,443.0,381.0,123.0,668.0,82.0,193.0,181.0,604.0,1500.0,7.115,0.9203778677462888,21.356,0.13,0.11,0.44,0.25,0.07,0.66,0.22,0.12,4.46,0.64,0.19,0.18,"1,6",0.76,0.31,0.37,0.32,22.3,0.0405
1019.0,1589000.0, 4.966,3 dagen,Woonboot,1936,320.0,735.0,1.0,11,6,,,,,,,,,,,,17.75,1.0367183017785429,11.717,0.2,0.08,0.39,0.29,0.04,0.62,0.16,0.22,8.775,0.43,0.25,0.33,"2,0",0.8,0.4,0.37,0.23,24.8,0.0408
1079.0,1950000.0, 8.744,5 dagen,Woning,1968,223.0,903.0,228.0,9,7,423.0,147.0,455.0,407.0,332.0,90.0,584.0,686.0,178.0,829.0,1600.0,13.705,0.8557887610020312,10.175,0.13,0.11,0.4,0.23,0.13,0.71,0.19,0.1,8.065,0.57,0.22,0.21,"1,7",0.77,0.32,0.39,0.29,22.6,0.03
1015.0,850000.0, 6.071,10 dagen,Herenhuis,1005,140.0,500.0,48.0,4,2,1600.0,535.0,218.0,228.0,336.0,394.0,93.0,130.0,167.0,80.0,300.0,18.92,1.0420939017808957,22.632,0.09,0.1,0.39,0.3,0.11,0.65,0.23,0.12,12.825,0.69,0.18,0.13,"1,4",0.72,0.26,0.37,0.37,21.0,0.0601
1035.0,975000.0, 6.771,1 maand,Herenhuis,1930,144.0,570.0,505.0,4,-,3600.0,737.0,919.0,931.0,707.0,1900.0,84.0,500.0,735.0,1400.0,2200.0,2.9,0.9141914191419143,2.166,0.17,0.11,0.23,0.34,0.15,0.77,0.1,0.13,1.26,0.27,0.33,0.4,"2,3",0.75,0.21,0.37,0.42,18.3,0.0207
