Street,Zipcode,Price,Broker
Spyridon Louisweg 117,1034 WR, 585.000,ERA Van de Steege  Amsterdam-Centrum
Edmond Halleylaan 58,1086 ZV, 910.000,Voogd Makelaardij B.V.
Surinamekade 5 D,1019 BH, 1.589.000,Hans Kok
Zuideinde 286,1035 PM, 1.395.000,de Haas Makelaars
Durgerdammerdijk 119,1026 CG, 700.000,HR Makelaars
Eerste Helmersstraat 201,1054 DV, 1.650.000,SEM Makelaars
Koninginneweg 155,1075 CN, 2.300.000,Makelaardij o.g. Willemspark
Betuwestraat 14,1079 PR, 1.950.000,Beekman Makelaardij o/g B.V.
Nieuwe Leliestraat 186,1015 HG, 890.000,JLG Real Estate B.V.
Kadoelenweg 380,1035 NT, 975.000,ERA Van de Steege  Amsterdam-Centrum
Diopter 80,1025 MS, 539.080,AVT Makelaars 
Willem Mulierhof 45,1067 SJ, 800.000,Makelaardij Hendriks B.V.
Kwekerijlaan 8,1036 KC, 500.000,ERA Van de Steege  Amsterdam-Centrum
Galileiplantsoen 34,1098 NA, 800.000,Broekman Makelaars Alkmaar
Oudezijds Voorburgwal 217 B,1012 EX, 1.050.000,Amstelland Makelaars
Kadoelenweg 270,1035 NP, 475.000,Makelaardij Hendriks B.V.
Van Boshuizenstraat 145,1083 AT, 229.000,De Huizenbemiddelaar Amsterdam
Havikshorst 123,1083 TP, 325.000,Klok Real Estate B.V.
Philip Vingboonsstraat 16,1067 BH, 325.000,Nieuw West Makelaardij Onroerende Zaken B.V.
Hendrik Dienskestraat 26,1063 AP, 575.000,Nieuw West Makelaardij Onroerende Zaken B.V.
Wolbrantskerkweg 67 + Pp,1069 CL, 415.000,Urbanmakelaars Nederland
Prof J H Gunningstraat 52,1068 MS, 549.500,ERA Van de Steege  Amsterdam-Centrum
Duindoornplein 25,1032 CL, 400.000,de Haas Makelaars
Leliegracht 5 2,1015 DE, 1.050.000,RE/MAX PRO
Leliegracht 5 2,1016 GN, 1.050.000,RE/MAX PRO
Hoekenes 60,1068 MZ, 475.000,Nieuw West Makelaardij Onroerende Zaken B.V.
Poppendammergouw 32,1028 AZ, 1.500.000,Makelaardij Hendriks B.V.
Bandijkstraat 21,1069 VJ, 449.021,AVT Makelaars 
Funenpark 77,1018 AK, 600.000,Makelaardij Prins van Wijngaarden
Willem Augustinstraat 182,1061 MJ, 500.000,Amstelland Makelaars
Tilanusstraat 31 1,1091 BD, 425.000,Bijleveld Makelaardij O.G.
H Gerhardstraat 20,1069 TD, 225.000,HR Makelaars
Tekkopstraat 107,na, 300.000,Collectief makelaars
