Street,Zipcode,Price,Broker
Spyridon Louisweg 117,1034 WR,585,ERA Van de Steege  Amsterdam-Centrum
Philip Vingboonsstraat 16,1067 BH,325,Nieuw West Makelaardij Onroerende Zaken B.V.
Edmond Halleylaan 58,1086 ZV,910,Voogd Makelaardij B.V.
Leliegracht 5 2,1016 GN, 1.050.000,RE/MAX PRO
Zuideinde 286,1035 PM, 1.395.000,de Haas Makelaars
Durgerdammerdijk 119,1026 CG,700,HR Makelaars
Eerste Helmersstraat 201,1054 DV, 1.650.000,SEM Makelaars
Surinamekade 5 D,1019 BH, 1.589.000,Hans Kok
Betuwestraat 14,1079 PR, 1.950.000,Beekman Makelaardij o/g B.V.
Nieuwe Leliestraat 186,1015 HG,850,JLG Real Estate B.V.
Kadoelenweg 380,1035 NT,975,ERA Van de Steege  Amsterdam-Centrum
Diopter 80,1025 MS,539.08,AVT Makelaars 
Kwekerijlaan 8,1036 KC,500,ERA Van de Steege  Amsterdam-Centrum
Willem Mulierhof 45,1067 SJ,800,Makelaardij Hendriks B.V.
Galileiplantsoen 34,1098 NA,800,Broekman Makelaars Alkmaar
Koninginneweg 155,1075 CN, 2.300.000,Makelaardij o.g. Willemspark
Schimmelstraat 55,1053 TD, 1.290.000,Amsterdam at Home Makelaars
Oudezijds Voorburgwal 217 B,1012 EX, 1.050.000,Amstelland Makelaars
Carolina Macgillavrylaan 29 + Pp,1098 XA,569,SEM Makelaars
Gunterstein 51,1081 CH,575,RE/MAX PRO
Osdorper Ban 533,1069 GA,375,ERA Van de Steege  Amsterdam-Centrum
Pandorinastraat 10,1035 VR,300,Peters-de Jong makelaardij in o.z.
Jan van Zutphenstraat 615,1069 RS,399,Nieuw West Makelaardij Onroerende Zaken B.V.
Havikshorst 123,1083 TP,325,Klok Real Estate B.V.
Hendrik Dienskestraat 26,1063 AP,575,Nieuw West Makelaardij Onroerende Zaken B.V.
Prof J H Gunningstraat 52,1068 MS,549.5,ERA Van de Steege  Amsterdam-Centrum
Leliegracht 5 2,1015 DE, 1.050.000,RE/MAX PRO
Duindoornplein 25,1032 CL,400,de Haas Makelaars
Hoekenes 60,1068 MZ,475,Nieuw West Makelaardij Onroerende Zaken B.V.
Funenpark 77,1018 AK,600,Makelaardij Prins van Wijngaarden
Bandijkstraat 21,1069 VJ,449.021,AVT Makelaars 
Poppendammergouw 32,1028 AZ, 1.500.000,Makelaardij Hendriks B.V.
