Type,Construction_year,Living_area,LOT,Plot,Other,Insulation,Heating,Energy_label,Energy_consumption,inside_maintenance_state,Rooms,Bedrooms,Sanitation,kitchen,outside_maintenace_state,outside_state_painting,Graden,view,Balcony,Garage,number_of_times_shown,number_of_times_shown_yesterday
Herenhuis,1995,160 m²,556 m³,220 m²,-,-,-,-,-,-,5,-,-,-,-,-,Ja,-,-,Ja,138,116
Herenhuis,2008,234 m²,874 m³,144 m²,-,-,-,-,-,-,8,4,-,-,-,-,Ja,-,-,-,455,97
Woonboot,1936,320 m²,735 m³,1 m²,-,-,-,-,-,-,11,6,-,-,-,-,-,-,-,-,243,126
Vrijstaande woning,1751,302 m²,1.259 m³,1.470 m²,-,-,-,-,-,-,7,6,-,-,-,-,Ja,-,-,-,2.369,89
Eengezinswoning,1968,103 m²,319 m³,265 m²,-,-,-,-,-,-,5,3,-,-,-,-,Ja,-,-,-,11.882,90
Tussenwoning,1904,285 m²,1.043 m³,90 m²,-,-,-,-,-,-,10,5,-,-,-,-,Ja,-,Ja,-,4.184,93
Woning,1906,283 m²,1.132 m³,-,-,-,-,-,-,-,7,4,-,-,-,-,Ja,-,Ja,-,23,23
Woning,1968,223 m²,903 m³,228 m²,-,-,-,-,-,-,9,7,-,-,-,-,Ja,-,Ja,Ja,452,93
Herenhuis,1005,140 m²,500 m³,48 m²,-,-,-,-,-,-,4,2,-,-,-,-,Ja,-,Ja,-,908,100
Herenhuis,1930,144 m²,570 m³,505 m²,-,-,-,-,-,-,4,-,-,-,-,-,Ja,-,-,Ja,3.070,85
Tussenwoning,1998,150 m²,470 m³,167 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,Ja,Ja,822,105
Bungalow,1965,118 m²,534 m³,726 m²,-,-,-,-,-,-,3,2,-,-,-,-,Ja,-,-,Ja,1.681,61
Eengezinswoning,2008,129 m²,469 m³,109 m²,-,-,-,-,-,-,6,-,-,-,-,-,Ja,-,-,Ja,450,116
Herenhuis,1929,132 m²,501 m³,120 m²,-,-,-,-,-,-,7,6,-,-,-,-,Ja,-,Ja,-,1.522,24
Appartement,1005,129 m²,-,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,782,24
Eengezinswoning,1936,119 m²,415 m³,209 m²,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,Ja,-,188,99
Bovenwoning,1963,44 m²,147 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,95,48
Appartement,1963,75 m²,203 m³,80 m²,-,Dubbelglas,CV hoogrendement,-,-,Redelijk,3,2,Bad,Standaard,Goed,Goed,-,WoningenGroenvoorzieningen,Ja,-,4.960,47
Hoekwoning,1955,100 m²,328 m³,80 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,-,-,12,12
Woning,1953,107 m²,411 m³,156 m²,-,-,-,-,-,-,3,2,-,-,-,-,Ja,-,Ja,Ja,1.294,24
Eengezinswoning,2009,132 m²,440 m³,-,Zwembad,-,-,-,-,-,6,-,-,-,-,-,Ja,-,-,Ja,181,92
Eengezinswoning,2007,161 m²,420 m³,143 m²,-,-,-,-,-,-,6,-,-,-,-,-,Ja,-,-,-,164,29
Tussenwoning,1931,70 m²,249 m³,73 m²,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,383,28
Dubbele bovenwoning,1620,139 m²,-,66 m²,-,-,-,-,-,-,5,4,-,-,-,-,-,-,-,-,16,16
Dubbele bovenwoning,1620,139 m²,-,66 m²,-,-,-,-,-,-,5,4,-,-,-,-,-,-,-,-,0,0
Woning,1985,100 m²,325 m³,235 m²,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,358,33
Woonboerderij,1910,374 m²,1.048 m³,7.160 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,Ja,-,33.344,15
Tussenwoning,2012,137 m²,510 m³,144 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,-,-,169,68
Appartement,2004,125 m²,342 m³,-,Lift,-,-,-,-,-,4,3,-,-,-,-,-,-,Ja,Ja,102,80
Eengezinswoning,2013,113 m²,-,185 m²,Lift,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,215,22
Appartement,1911,59 m²,213 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,597,29
Appartement,2012,59 m²,190 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,Ja,-,-,-,25,25
Woning,1983,110 m²,370 m³,130 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,-,Ja,1.403,37
Penthouse,2011,104 m²,338 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,-,-,130,13
Bovenwoning,1896,58 m²,-,72 m²,-,-,-,-,-,-,2,1,-,-,-,-,-,-,Ja,-,565,27
Woonboerderij,1992,364 m²,1.245 m³,1.300 m²,-,-,-,-,-,-,6,5,-,-,-,-,Ja,-,Ja,-,4.831,15
Bovenwoning,1977,90 m²,224 m³,90 m²,Lift,-,-,-,-,-,5,-,-,-,-,-,-,-,Ja,-,1.599,56
Hoekwoning,1991,108 m²,361 m³,122 m²,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,297,23
Geschakelde woning,1991,105 m²,-,100 m²,-,-,-,-,-,-,-,-,-,-,-,-,Ja,-,-,-,24,16
Appartement,1965,78 m²,252 m³,-,-,-,-,-,-,-,4,2,-,-,-,-,-,-,Ja,-,39,30
Eengezinswoning,2005,125 m²,430 m³,125 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,-,Ja,486,11
Tussenwoning,1993,125 m²,415 m³,136 m²,-,-,-,-,-,-,5,3,-,-,-,-,Ja,-,-,-,245,29
Eengezinswoning,1990,116 m²,393 m³,104 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,Ja,-,266,11
Villa,2011,197 m²,588 m³,895 m²,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,Ja,687,6
Eengezinswoning,1931,75 m²,290 m³,76 m²,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,607,10
Eengezinswoning,1964,77 m²,365 m³,108 m²,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,840,37
Bovenwoning,2005,122 m²,-,-,-,-,-,-,-,-,5,4,-,-,-,-,-,-,-,-,364,18
Villa,1939,248 m²,955 m³,589 m²,-,-,-,-,-,-,8,5,-,-,-,-,Ja,-,-,Ja,2.753,16
Woning,1910,112 m²,455 m³,104 m²,Zwembad,-,-,-,-,-,4,3,-,-,-,-,Ja,-,Ja,-,261,12
Bovenwoning,1901,255 m²,-,-,-,-,-,-,-,-,7,5,-,-,-,-,-,-,Ja,-,283,10
