treinstation,tankstation,supermarkt,basisschool,kinderopvang,middelbare school,café,videotheek,(huis)arts,tandarts,fitnesscentrum,bibliotheek
"['Amsterdam Centraal', '2,9 kilometer']","['Total Selfservicestation Kadoelen', '1,7 kilometer']","['Son To Maatje', '339 meter']","['Rijkers Openbare Basisschool Dorus', '359 meter']","['Gastouder De Liefste Mama', '348 meter']","['Bredero Mavo', '814 meter']","['Eetcafé The Mansion', '962 meter']","['Eurocorner', '2,3 kilometer']","['Berendse J H', '780 meter']","['tandheelkundige dienstverlening Sang Ajang', '151 meter']","['Cardio Candy', '2,0 kilometer']","['IHLIA LGBT heritage', '3,0 kilometer']"
"['Diemen', '1,9 kilometer']","['Shell Station Kriterion', '1,3 kilometer']","['Multi Tokorien IJburg', '1,9 kilometer']","['Abbs-de Zuiderzee', '554 meter']","['Blauwe Fluithaas De', '178 meter']","['LUCA Praktijkschool', '2,5 kilometer']","['Café Blond B.V.', '429 meter']","['Movie MAX Moviestores', '3,1 kilometer']","['Gezondheidscentrum Steigereiland SAG', '262 meter']","['Mondzorgcentrum IJburg', '294 meter']","['Fitamsterdam', '691 meter']","['Internationaal Instituut voor Sociale Geschiedenis', '3,0 kilometer']"
,,,,,,,,,,,
"['Amsterdam Centraal', '5,0 kilometer']","['Driesprong Brandstoffen Exploitatie BV', '1,3 kilometer']","['Van der Velde & Eveleens VOF', '435 meter']","['Krijtmolen Openbare Basisschool De', '313 meter']","['Shirly4Kids', '97 meter']","['Praktijkcollege Noord', '792 meter']","['Borrelz', '1,8 kilometer']","['Eurocorner', '1,0 kilometer']","['Huisartsenpraktijk Molenwijk', '538 meter']","['Schröder Tandartsenpraktijk Reinier', '1,1 kilometer']","['Play-Fit', '1,0 kilometer']","['Openbare Bibliotheek Waterland Vestiging Landsmeer', '1,9 kilometer']"
"['Diemen', '4,1 kilometer']","['Shell Station Kriterion', '1,8 kilometer']","['Bizim Ufuk Supermarket en Bakkerij (A.I.)', '3,0 kilometer']","['Weidevogel De', '1,6 kilometer']","['KinderVilla ijburg steigereiland nso', '1,5 kilometer']","['LUCA Praktijkschool', '3,7 kilometer']","['Zwaan Hotel-Café CV De', '1,7 kilometer']","['Movie Max Goldmovie Videotheek', '4,2 kilometer']","['Gezondheidscentrum Steigereiland SAG', '2,0 kilometer']","['Tandartsenpraktijk Amsterdam', '1,9 kilometer']","['Fitamsterdam', '2,2 kilometer']","['Internationaal Instituut voor Sociale Geschiedenis', '3,7 kilometer']"
"['Amsterdam Lelylaan', '2,3 kilometer']","['Texaco Bem BV Selfservice', '1,1 kilometer']","['Concy.nl', '443 meter']","['Bredeschool Kinkerbuurt De', '381 meter']","['Vondelkids', '123 meter']","['ABC Het', '668 meter']","['Toog Café De', '82 meter']","['Asian Music Palace', '551 meter']","['Gezondheidscentrum Helmersstraat SAG', '193 meter']","['Tandarts V. Wu', '181 meter']","['Family Gym The', '604 meter']","['Boekmanstichting Bibliotheek', '1,5 kilometer']"
"['Amsterdam Zuid', '1,7 kilometer']","['BP Commandeur', '628 meter']","['Albert Heijn Supermarkt', '453 meter']","['2e Dalton Basisschool', '573 meter']","['Albers Kids & Care', '383 meter']","['Amsterdams Lyceum Het', '260 meter']","['Bedier Café', '403 meter']","['Lucky Star Videotheek', '441 meter']","['Neut Huisartsenpraktijk H W vd', '194 meter']","['Tandartspraktijk Koninginneweg', '73 meter']","['IFit Health Station', '544 meter']","['Praktizijns Sociëteit Bibliotheek', '1,4 kilometer']"
"['Amsterdam RAI', '423 meter']","['Douwes & Van der Sluis BV', '147 meter']","['Albert Heijn', '455 meter']","['6e Montessorischool Anne Frank', '407 meter']","['KDV Wereldvlinders BV', '332 meter']","['Hubertus & Berkhoff', '90 meter']","[""Gat van Zuid Café 't"", '584 meter']","['Filmclub Videotheek Cinemagic', '1,4 kilometer']","['Huob', '686 meter']","['BriteSmile-Prev Dent Nederland', '178 meter']","['Yorbody Ladyfit', '829 meter']","['Theosofische Bibliotheek', '1,6 kilometer']"
"['Amsterdam Centraal', '1,6 kilometer']","['Texaco Bem BV Selfservice', '535 meter']","['Roos Market', '218 meter']","['Rijk Kramer Oecumenische Basisschool Dr', '228 meter']","['The Zoo BSO', '336 meter']","['Cartesius Lyceum', '394 meter']","[""Café Mannetje 't"", '93 meter']","['Platebank BV', '855 meter']","['Cambridge Medical GP Physician Medical Doctor', '130 meter']","['Oosterbaan Tandarts C L', '167 meter']","['Fitness Centrum Leidsegracht BV', '80 meter']","['Bibliotheca Philosophica Hermetica', '300 meter']"
"['Amsterdam Centraal', '3,6 kilometer']","['Total Selfservicestation Kadoelen', '737 meter']","['Son To Maatje', '919 meter']","['Rijkers Openbare Basisschool Dorus', '931 meter']","['Banne Banjers Gastouder De', '707 meter']","['Bredero Mavo', '1,9 kilometer']","['Kadoelen Café Koffiehuis', '84 meter']","['Eurocorner', '1,2 kilometer']","['Huisartsenpraktijk Kadoelerbreek', '500 meter']","['Behnam Rafal', '735 meter']","['Play-Fit', '1,4 kilometer']","['Openbare Bibliotheek Waterland Vestiging Landsmeer', '2,2 kilometer']"
"['Amsterdam Centraal', '4,0 kilometer']","['Total Selfservicestation Kadoelen', '1,6 kilometer']","['Zargar-Shakouri S', '757 meter']","['De Vier Windstreken Openbare Basisschool', '705 meter']","[""Piratenschip BSO 't"", '705 meter']","['Bredero Mavo', '807 meter']","['JAN Stichting Studentencafé', '869 meter']","['Eurocorner', '2,9 kilometer']","['Gezondheidscentrum Banne Buiksloot SAG', '656 meter']","['Tandheelkunde Smit', '599 meter']","['Cardio Candy', '872 meter']","['Openbare Bibliotheek Waterland Vestiging Landsmeer', '2,6 kilometer']"
"['Amsterdam Lelylaan', '3,3 kilometer']","['Autorette BP Sloterplas', '2,3 kilometer']","['Sefa Market', '761 meter']","['Goeman Borgesiusschool', '441 meter']","['PVO Goeman Borgesius 1', '441 meter']","['Calandlyceum', '2,5 kilometer']","[""Sanny's Place Café"", '757 meter']","['Filmclub Videotheek Osdorp', '2,8 kilometer']","['Runhert R Huisartsenpraktijk W Busser & J Leeuw', '724 meter']","['Dedic Tandarts E', '843 meter']","[""Doel Lady's Only Fitnesscentrum Het"", '775 meter']","['Bibliotheca Philosophica Hermetica', '6,1 kilometer']"
,,,,,,,,,,,
"['Amsterdam Muiderpoort', '1,1 kilometer']","['Mobil Station Zeist', '1,0 kilometer']","['Cappadocia', '823 meter']","['Watergraafsmeer 5e Montessorischool', '155 meter']","['Bee Bee Kinderdagverblijf', '227 meter']","['Onderwijsstichting Esprit', '214 meter']","[""Elsa's Eetcafé"", '483 meter']","['Movie Max Goldmovie Videotheek', '1,2 kilometer']","['Swart Huisartsenpraktijk', '54 meter']","['Pawiroredjo Tandartspraktijk D W', '207 meter']","['Ultimate Fitness Amsterdam', '524 meter']","['Internationaal Instituut voor Sociale Geschiedenis', '1,8 kilometer']"
"['Amsterdam Centraal', '955 meter']","['Texaco Bem BV Selfservice', '1,2 kilometer']","['Haussmann BV The', '98 meter']","['Basisschool Sint Antonius', '588 meter']","['Gastouder Alexandra', '383 meter']","['Art of Colors Opleidingen', '531 meter']","['Buurvrouw Café De', '121 meter']","['Weng Joeng Hong', '624 meter']","['Huisartsenpraktijk Heijnen & De Meij', '249 meter']","['Qua Tandartspraktijk Rokin', '270 meter']","['Aerobic en Fitness Studio 21', '400 meter']","['Zeemanshoop Koninklijk College', '374 meter']"
,,,,,,,,,,,
