inhabitants,distribution_fm,population_density,Age_0-15,age_15-25,age_25-45,age_45-65,age_older,indigenous,western_allochtoon,none_western,household,household_single,household_wo_kids,household_with_kids,avg_person_per_household,perc_with_job,high_income,medium_income,low_income,income_avg,social_benefit
12.510,"5.995 / 
6.515",7.553 per km²,21 %,12 %,26 %,25 %,15 %,43 %,9 %,48 %,5.675,43 %,21 %,37 %,"2,2",63 %,11 %,46 %,43 %,€ 16.400,"10,7 %"
12.825,"6.415 / 
6.410",9.663 per km²,21 %,16 %,31 %,20 %,11 %,30 %,10 %,60 %,5.670,43 %,20 %,37 %,"2,2",62 %,9 %,45 %,46 %,€ 15.500,"11,7 %"
11.670,"5.790 / 
5.875",10.148 per km²,34 %,7 %,42 %,14 %,2 %,54 %,11 %,35 %,4.445,30 %,18 %,53 %,"2,6",81 %,37 %,40 %,23 %,€ 23.400,5 %
6.805,"3.615 / 
3.190",13.560 per km²,9 %,12 %,38 %,30 %,11 %,62 %,30 %,8 %,4.495,65 %,23 %,12 %,"1,5",69 %,44 %,26 %,30 %,€ 30.200,1 %
8.715,"4.235 / 
4.480",3.556 per km²,19 %,13 %,27 %,27 %,14 %,64 %,10 %,26 %,3.905,36 %,24 %,40 %,"2,2",73 %,20 %,44 %,36 %,€ 17.900,"5,5 %"
2.120,"1.065 / 
1.055",91 per km²,19 %,9 %,21 %,36 %,16 %,88 %,9 %,3 %,895,29 %,32 %,39 %,"2,4",76 %,36 %,34 %,30 %,€ 24.300,"0,5 %"
7.115,"3.410 / 
3.705",21.356 per km²,13 %,11 %,44 %,25 %,7 %,66 %,22 %,12 %,4.460,64 %,19 %,18 %,"1,6",76 %,31 %,37 %,32 %,€ 22.300,"4,5 %"
17.750,"9.035 / 
8.715",11.717 per km²,20 %,8 %,39 %,29 %,4 %,62 %,16 %,22 %,8.775,43 %,25 %,33 %,"2,0",80 %,40 %,37 %,23 %,€ 24.800,"4,8 %"
13.705,"6.320 / 
7.385",10.175 per km²,13 %,11 %,40 %,23 %,13 %,71 %,19 %,10 %,8.065,57 %,22 %,21 %,"1,7",77 %,32 %,39 %,29 %,€ 22.600,3 %
18.920,"9.655 / 
9.265",22.632 per km²,9 %,10 %,39 %,30 %,11 %,65 %,23 %,12 %,12.825,69 %,18 %,13 %,"1,4",72 %,26 %,37 %,37 %,€ 21.000,"6,1 %"
2.900,"1.385 / 
1.515",2.166 per km²,17 %,11 %,23 %,34 %,15 %,77 %,10 %,13 %,1.260,27 %,33 %,40 %,"2,3",75 %,21 %,37 %,42 %,€ 18.300,"2,7 %"
11.960,"5.595 / 
6.365",3.667 per km²,17 %,14 %,25 %,22 %,23 %,49 %,10 %,41 %,6.105,50 %,22 %,27 %,"1,9",64 %,15 %,44 %,41 %,€ 17.300,"8,1 %"
10.380,"5.020 / 
5.360",6.287 per km²,15 %,10 %,27 %,28 %,19 %,70 %,8 %,22 %,5.185,44 %,25 %,31 %,"2,0",69 %,8 %,45 %,47 %,€ 15.300,"6,7 %"
12.825,"6.415 / 
6.410",9.663 per km²,21 %,16 %,31 %,20 %,11 %,30 %,10 %,60 %,5.670,43 %,20 %,37 %,"2,2",62 %,9 %,45 %,46 %,€ 15.500,"11,7 %"
13.510,"6.445 / 
7.065",4.798 per km²,18 %,14 %,33 %,25 %,10 %,72 %,16 %,12 %,6.910,48 %,22 %,30 %,"2,0",78 %,34 %,39 %,27 %,€ 23.200,"2,3 %"
5.235,"2.600 / 
2.630",8.225 per km²,19 %,10 %,35 %,26 %,10 %,64 %,26 %,10 %,2.675,50 %,22 %,28 %,"2,0",74 %,44 %,28 %,28 %,€ 33.300,"2,5 %"
5.135,"2.635 / 
2.500",20.353 per km²,10 %,12 %,48 %,23 %,7 %,57 %,19 %,24 %,3.375,65 %,20 %,15 %,"1,5",72 %,18 %,40 %,42 %,€ 17.500,9 %
3.915,"2.250 / 
1.665",11.176 per km²,6 %,16 %,46 %,26 %,6 %,58 %,27 %,15 %,2.805,72 %,19 %,9 %,"1,4",72 %,22 %,37 %,41 %,€ 18.900,"3,9 %"
13.510,"6.445 / 
7.065",4.798 per km²,18 %,14 %,33 %,25 %,10 %,72 %,16 %,12 %,6.910,48 %,22 %,30 %,"2,0",78 %,34 %,39 %,27 %,€ 23.200,"2,3 %"
12.165,"5.575 / 
6.590",3.378 per km²,11 %,10 %,28 %,23 %,27 %,61 %,22 %,17 %,7.270,59 %,24 %,18 %,"1,6",71 %,28 %,40 %,32 %,€ 23.200,"2,8 %"
15.105,"7.180 / 
7.925",9.515 per km²,14 %,13 %,27 %,22 %,23 %,46 %,11 %,43 %,8.175,52 %,25 %,23 %,"1,8",65 %,14 %,43 %,43 %,€ 16.900,"7,7 %"
2.900,"1.385 / 
1.515",2.166 per km²,17 %,11 %,23 %,34 %,15 %,77 %,10 %,13 %,1.260,27 %,33 %,40 %,"2,3",75 %,21 %,37 %,42 %,€ 18.300,"2,7 %"
13.370,"6.440 / 
6.930",12.505 per km²,21 %,14 %,36 %,17 %,13 %,27 %,10 %,63 %,6.230,45 %,22 %,33 %,"2,1",63 %,9 %,45 %,46 %,€ 15.700,"12,3 %"
7.105,"3.155 / 
3.950",3.866 per km²,9 %,9 %,24 %,24 %,34 %,62 %,22 %,16 %,4.025,59 %,25 %,16 %,"1,6",66 %,30 %,38 %,32 %,€ 23.600,"3,5 %"
9.185,"4.730 / 
4.450",9.627 per km²,20 %,15 %,34 %,21 %,11 %,27 %,10 %,63 %,4.540,51 %,17 %,32 %,"2,0",60 %,10 %,45 %,45 %,€ 16.200,"13,6 %"
15.105,"7.180 / 
7.925",9.515 per km²,14 %,13 %,27 %,22 %,23 %,46 %,11 %,43 %,8.175,52 %,25 %,23 %,"1,8",65 %,14 %,43 %,43 %,€ 16.900,"7,7 %"
6.805,"3.615 / 
3.190",13.560 per km²,9 %,12 %,38 %,30 %,11 %,62 %,30 %,8 %,4.495,65 %,23 %,12 %,"1,5",69 %,44 %,26 %,30 %,€ 30.200,1 %
9.380,"4.660 / 
4.720",7.877 per km²,17 %,13 %,32 %,26 %,12 %,51 %,9 %,40 %,4.935,51 %,19 %,30 %,"1,9",62 %,7 %,43 %,50 %,€ 14.900,"13,4 %"
15.105,"7.180 / 
7.925",9.515 per km²,14 %,13 %,27 %,22 %,23 %,46 %,11 %,43 %,8.175,52 %,25 %,23 %,"1,8",65 %,14 %,43 %,43 %,€ 16.900,"7,7 %"
12.615,"6.375 / 
6.235",12.311 per km²,13 %,13 %,34 %,32 %,8 %,57 %,18 %,25 %,7.550,60 %,18 %,21 %,"1,7",68 %,21 %,41 %,38 %,€ 19.300,"9,1 %"
