posted_date,current_price,original_price,changes_in_price,price,price_per_m2,times_in_sales
19-06-2018, 585.000, 585.000,-, 585.000, 3.656,Nieuw
16-06-2018, 910.000, 910.000,-, 910.000, 3.889,4 dagen
18-06-2018, 1.589.000, 1.589.000,-, 1.589.000, 4.966,Nieuw
29-05-2018, 1.395.000, 1.395.000,-, 1.395.000, 4.619,22 dagen
16-03-2018, 700.000, 700.000,-, 700.000, 6.796,3 maanden
07-05-2018, 1.650.000, 1.650.000,-, 1.650.000, 5.789,1 maand
19-06-2018, 2.300.000, 2.300.000,-, 2.300.000, 8.127,Nieuw
16-06-2018, 1.950.000, 1.950.000,-, 1.950.000, 8.744,4 dagen
11-06-2018, 890.000, 890.000,-, 890.000, 6.357,9 dagen
19-05-2018, 975.000, 975.000,-, 975.000, 6.771,1 maand
12-06-2018, 539.080, 539.080,-, 539.080, 3.594,8 dagen
01-06-2018, 800.000, 800.000,-, 800.000, 6.780,19 dagen
16-06-2018, 500.000, 500.000,-, 500.000, 3.876,4 dagen
31-05-2018, 800.000, 800.000,-, 800.000, 6.061,20 dagen
08-06-2018, 1.050.000, 1.050.000,-, 1.050.000, 8.140,12 dagen
18-06-2018, 475.000, 475.000,-, 475.000, 3.992,Nieuw
19-06-2018, 229.000, 229.000,-, 229.000, 5.205,Nieuw
08-05-2018, 325.000, 325.000,-, 325.000, 4.333,1 maand
20-06-2018, 325.000, 325.000,-, 325.000, 3.250,Nieuw
28-05-2018, 575.000, 575.000,-, 575.000, 5.374,23 dagen
18-06-2018, 415.000, 415.000,-, 415.000, 3.144,Nieuw
14-06-2018, 549.500, 549.500,-, 549.500, 3.413,6 dagen
15-06-2018, 400.000, 400.000,-, 400.000, 5.714,5 dagen
20-06-2018, 1.050.000, 1.050.000,-, 1.050.000, 7.554,Nieuw
21-06-2018, 1.050.000, 1.050.000,-, 1.050.000, 7.554,Nieuw
12-06-2018, 475.000, 475.000,-, 475.000, 4.750,8 dagen
24-10-2017, 1.500.000, 1.500.000,-, 1.500.000, 4.011,7 maanden
18-06-2018, 449.021, 449.021,-, 449.021, 3.278,Nieuw
19-06-2018, 600.000, 600.000,-, 600.000, 4.800,Nieuw
10-06-2018, 500.000, 500.000,-, 500.000, 4.425,10 dagen
11-06-2018, 425.000, 425.000,-, 425.000, 7.203,9 dagen
20-06-2018, 225.000, 225.000,-, 225.000, 3.814,Nieuw
01-06-2018, 300.000, 300.000,-, 300.000, 2.727,19 dagen
09-06-2018, 620.000, 620.000,-, 620.000, 5.962,11 dagen
08-06-2018, 400.000, 400.000,-, 400.000, 6.897,12 dagen
12-04-2018, 1.650.000, 1.900.000," -250.000 / -13,2%", 1.650.000, 4.533,2 maanden
31-05-2018, 285.000, 285.000,-, 285.000, 3.167,20 dagen
16-06-2018, 335.000, 335.000,-, 335.000, 3.102,4 dagen
19-06-2018, 300.000, 300.000,-, 300.000, 2.857,Nieuw
19-06-2018, 300.000, 300.000,-, 300.000, 3.846,Nieuw
10-06-2018, 390.000, 390.000,-, 390.000, 3.120,10 dagen
17-06-2018, 469.020, 469.020,-, 469.020, 3.752,3 dagen
15-06-2018, 424.011, 424.011,-, 424.011, 3.655,5 dagen
20-05-2018, 1.295.000, 1.295.000,-, 1.295.000, 6.574,1 maand
07-06-2018, 350.000, 350.000,-, 350.000, 4.667,13 dagen
06-06-2018, 300.000, 300.000,-, 300.000, 3.896,14 dagen
10-06-2018, 600.000, 600.000,-, 600.000, 4.918,10 dagen
